pos,corr_resp,thisN,thisTrialN,thisRepN,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.duration,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,thisRow.t,notes,trial.started,fixation.started,Line_1.started,Line_2.started,Line_3.started,Line_4.started,fixation.stopped,Probe.started,key_resp.started,trial.stopped,trials.key_resp.keys,trials.key_resp.corr,trials.key_resp.rt,trials.key_resp.duration,trials_2.key_resp.keys,trials_2.key_resp.corr,trials_2.key_resp.rt,trials_2.key_resp.duration,participant,session,date,expName,psychopyVersion,frameRate,expStart,
-50,x,104,104,28,x,1,1.263747900025919,None,,,,,28,104,104,0,736.1165479999036,,736.1122091999277,736.1165479999036,737.1026415999513,737.1026415999513,737.1026415999513,737.1026415999513,737.1097182000522,738.1025175000541,738.1025175000541,739.3673153999262,,,,,x,1,1.263747900025919,None,704236,001,2025-10-04_08h12.23.123,Motor Learning,2024.2.4,143.41667235551566,2025-10-04 08h12.32.724477 +0530,
-50,x,105,105,29,x,1,0.5768925999291241,None,,,,,29,105,105,0,739.3734700998757,,739.3675134000368,739.3734700998757,740.3590903999284,740.3590903999284,740.3590903999284,740.3590903999284,740.3661491000094,741.3590599999297,741.3590599999297,741.9423446999863,,,,,x,1,0.5768925999291241,None,704236,001,2025-10-04_08h12.23.123,Motor Learning,2024.2.4,143.41667235551566,2025-10-04 08h12.32.724477 +0530,
-50,x,106,106,30,x,1,0.6120128000620753,None,,,,,30,106,106,0,741.9490916000213,,741.9425252999645,741.9490916000213,742.9350439999253,742.9350439999253,742.9350439999253,742.9350439999253,742.9420648999512,743.9355097999796,743.9355097999796,744.554389799945,,,,,x,1,0.6120128000620753,None,704236,001,2025-10-04_08h12.23.123,Motor Learning,2024.2.4,143.41667235551566,2025-10-04 08h12.32.724477 +0530,
50,c,107,107,25,c,1,0.5086225001141429,None,,,,,25,107,107,2,744.5598599999212,,744.5547778999899,744.5598599999212,745.5458439998329,745.5458439998329,745.5458439998329,745.5458439998329,745.5525311999954,746.5454998000059,746.5454998000059,747.060715700034,,,,,c,1,0.5086225001141429,None,704236,001,2025-10-04_08h12.23.123,Motor Learning,2024.2.4,143.41667235551566,2025-10-04 08h12.32.724477 +0530,
-50,x,108,108,31,x,1,0.4382964998949319,None,,,,,31,108,108,0,747.0663045998663,,747.0611127000302,747.0663045998663,748.0523308999836,748.0523308999836,748.0523308999836,748.0523308999836,748.0592461000197,749.0522808998358,749.0522808998358,749.4980303999037,,,,,x,1,0.4382964998949319,None,704236,001,2025-10-04_08h12.23.123,Motor Learning,2024.2.4,143.41667235551566,2025-10-04 08h12.32.724477 +0530,
-50,x,109,109,32,x,1,0.47906770021654665,None,,,,,32,109,109,0,749.5032583998982,,749.4983719999436,749.5032583998982,750.4898369000293,750.4898369000293,750.4898369000293,750.4898369000293,750.496576000005,751.4894043998793,751.4894043998793,751.9701497000642,,,,,x,1,0.47906770021654665,None,704236,001,2025-10-04_08h12.23.123,Motor Learning,2024.2.4,143.41667235551566,2025-10-04 08h12.32.724477 +0530,
-150,z,110,110,24,z,1,0.40893479995429516,None,,,,,24,110,110,3,751.9754695999436,,751.9704408999532,751.9754695999436,752.9613355000038,752.9613355000038,752.9613355000038,752.9613355000038,752.9683513999917,753.9612979998346,753.9612979998346,754.3732960000634,,,,,z,1,0.40893479995429516,None,704236,001,2025-10-04_08h12.23.123,Motor Learning,2024.2.4,143.41667235551566,2025-10-04 08h12.32.724477 +0530,
150,v,111,111,27,v,1,0.35970039991661906,None,,,,,27,111,111,1,754.3777705999091,,754.3736477000639,754.3777705999091,755.3639405998401,755.3639405998401,755.3639405998401,755.3639405998401,755.3709642998874,756.3635988000315,756.3635988000315,756.7261762998533,,,,,v,1,0.35970039991661906,None,704236,001,2025-10-04_08h12.23.123,Motor Learning,2024.2.4,143.41667235551566,2025-10-04 08h12.32.724477 +0530,
50,c,112,112,26,c,1,0.47722589992918074,None,,,,,26,112,112,2,756.7317335000262,,756.7264715000056,756.7317335000262,757.7176750998478,757.7176750998478,757.7176750998478,757.7176750998478,757.7246177999768,758.7174845999107,758.7174845999107,759.1978642998729,,,,,c,1,0.47722589992918074,None,704236,001,2025-10-04_08h12.23.123,Motor Learning,2024.2.4,143.41667235551566,2025-10-04 08h12.32.724477 +0530,
150,v,113,113,28,v,1,0.3869593001436442,None,,,,,28,113,113,1,759.203500200063,,759.1981983999722,759.203500200063,760.1895006999839,760.1895006999839,760.1895006999839,760.1895006999839,760.1964841999579,761.1894334000535,761.1894334000535,761.5794096000027,,,,,v,1,0.3869593001436442,None,704236,001,2025-10-04_08h12.23.123,Motor Learning,2024.2.4,143.41667235551566,2025-10-04 08h12.32.724477 +0530,
50,c,114,114,27,c,1,0.5343188000842929,None,,,,,27,114,114,2,761.5852957998868,,761.579688699916,761.5852957998868,762.5710730999708,762.5710730999708,762.5710730999708,762.5710730999708,762.5779925999232,763.5709746000357,763.5709746000357,764.1063635998871,,,,,c,1,0.5343188000842929,None,704236,001,2025-10-04_08h12.23.123,Motor Learning,2024.2.4,143.41667235551566,2025-10-04 08h12.32.724477 +0530,
-150,z,115,115,25,z,1,0.30352100008167326,None,,,,,25,115,115,3,764.1123617000412,,764.1066147000529,764.1123617000412,765.0986856999807,765.0986856999807,765.0986856999807,765.0986856999807,765.1056494999211,766.0985294999555,766.0985294999555,766.4054111998994,,,,,z,1,0.30352100008167326,None,704236,001,2025-10-04_08h12.23.123,Motor Learning,2024.2.4,143.41667235551566,2025-10-04 08h12.32.724477 +0530,
-150,z,116,116,26,z,1,0.4183824001811445,None,,,,,26,116,116,3,766.4109825999476,,766.4057604998816,766.4109825999476,767.3969073998742,767.3969073998742,767.3969073998742,767.3969073998742,767.4038805000018,768.3968698000535,768.3968698000535,768.8218846998643,,,,,z,1,0.4183824001811445,None,704236,001,2025-10-04_08h12.23.123,Motor Learning,2024.2.4,143.41667235551566,2025-10-04 08h12.32.724477 +0530,
-150,z,117,117,27,z,1,0.4351188000291586,None,,,,,27,117,117,3,768.8271351999138,,768.8222246998921,768.8271351999138,769.8132994000334,769.8132994000334,769.8132994000334,769.8132994000334,769.8201933000237,770.8131396998651,770.8131396998651,771.2520659998991,,,,,z,1,0.4351188000291586,None,704236,001,2025-10-04_08h12.23.123,Motor Learning,2024.2.4,143.41667235551566,2025-10-04 08h12.32.724477 +0530,
-50,x,118,118,33,x,1,0.47728260001167655,None,,,,,33,118,118,0,771.2574366000481,,771.2524051000364,771.2574366000481,772.243472199887,772.243472199887,772.243472199887,772.243472199887,772.250207599951,773.2433271999471,773.2433271999471,773.7235608999617,,,,,x,1,0.47728260001167655,None,704236,001,2025-10-04_08h12.23.123,Motor Learning,2024.2.4,143.41667235551566,2025-10-04 08h12.32.724477 +0530,
50,c,119,119,28,c,1,0.47458210005424917,None,,,,,28,119,119,2,773.7293564998545,,773.7238924000412,773.7293564998545,774.7153360999655,774.7153360999655,774.7153360999655,774.7153360999655,774.7221984998323,775.715004199883,775.715004199883,776.1953545999713,,,,,c,1,0.47458210005424917,None,704236,001,2025-10-04_08h12.23.123,Motor Learning,2024.2.4,143.41667235551566,2025-10-04 08h12.32.724477 +0530,
150,v,120,120,29,v,1,0.483368500135839,None,,,,,29,120,120,1,776.2011626998428,,776.1956591999624,776.2011626998428,777.1871708999388,777.1871708999388,777.1871708999388,777.1871708999388,777.19389149989,778.1870325999334,778.1870325999334,778.6740071999375,,,,,v,1,0.483368500135839,None,704236,001,2025-10-04_08h12.23.123,Motor Learning,2024.2.4,143.41667235551566,2025-10-04 08h12.32.724477 +0530,
50,c,121,121,29,c,1,0.47861650004051626,None,,,,,29,121,121,2,778.6799802000169,,778.674288299866,778.6799802000169,779.6658405999187,779.6658405999187,779.6658405999187,779.6658405999187,779.6728757999372,780.665611699922,780.665611699922,781.1467321000528,,,,,c,1,0.47861650004051626,None,704236,001,2025-10-04_08h12.23.123,Motor Learning,2024.2.4,143.41667235551566,2025-10-04 08h12.32.724477 +0530,
150,v,122,122,30,v,1,0.4227988999336958,None,,,,,30,122,122,1,781.1518685999326,,781.1471128999256,781.1518685999326,782.137766999891,782.137766999891,782.137766999891,782.137766999891,782.1447846000083,783.1377228999045,783.1377228999045,783.5625608998816,,,,,v,1,0.4227988999336958,None,704236,001,2025-10-04_08h12.23.123,Motor Learning,2024.2.4,143.41667235551566,2025-10-04 08h12.32.724477 +0530,
150,v,123,123,31,v,1,0.3836719000246376,None,,,,,31,123,123,1,783.5680507998914,,783.5628795998637,783.5680507998914,784.5542166999076,784.5542166999076,784.5542166999076,784.5542166999076,784.560939699877,785.5539027999621,785.5539027999621,785.9439772998448,,,,,v,1,0.3836719000246376,None,704236,001,2025-10-04_08h12.23.123,Motor Learning,2024.2.4,143.41667235551566,2025-10-04 08h12.32.724477 +0530,
-150,z,124,124,28,z,1,0.3710154998116195,None,,,,,28,124,124,3,785.9496082998812,,785.9444156999234,785.9496082998812,786.9356100000441,786.9356100000441,786.9356100000441,786.9356100000441,786.942676999839,787.9355116998777,787.9355116998777,788.3118161000311,,,,,z,1,0.3710154998116195,None,704236,001,2025-10-04_08h12.23.123,Motor Learning,2024.2.4,143.41667235551566,2025-10-04 08h12.32.724477 +0530,
-150,z,125,125,29,z,1,0.3189227001275867,None,,,,,29,125,125,3,788.3174521999899,,788.31219159998,788.3174521999899,789.3033259999938,789.3033259999938,789.3033259999938,789.3033259999938,789.3102430000436,790.303358499892,790.303358499892,790.6243016999215,,,,,z,1,0.3189227001275867,None,704236,001,2025-10-04_08h12.23.123,Motor Learning,2024.2.4,143.41667235551566,2025-10-04 08h12.32.724477 +0530,
50,c,126,126,30,c,1,0.42261589993722737,None,,,,,30,126,126,2,790.6295655998401,,790.6247196998447,790.6295655998401,791.6156756998971,791.6156756998971,791.6156756998971,791.6156756998971,791.622574100038,792.6154946999159,792.6154946999159,793.0406408999115,,,,,c,1,0.42261589993722737,None,704236,001,2025-10-04_08h12.23.123,Motor Learning,2024.2.4,143.41667235551566,2025-10-04 08h12.32.724477 +0530,
-50,x,127,127,34,x,1,0.3822870999574661,None,,,,,34,127,127,0,793.0458323999774,,793.0410706999246,793.0458323999774,794.0319703000132,794.0319703000132,794.0319703000132,794.0319703000132,794.0388706999365,795.0315904999152,795.0315904999152,795.4157010000199,,,,,x,1,0.3822870999574661,None,704236,001,2025-10-04_08h12.23.123,Motor Learning,2024.2.4,143.41667235551566,2025-10-04 08h12.32.724477 +0530,
150,v,128,128,32,v,1,0.41000849986448884,None,,,,,32,128,128,1,795.4204804999754,,795.4161049998365,795.4204804999754,796.406656799838,796.406656799838,796.406656799838,796.406656799838,796.4132789999712,797.4065047998447,797.4065047998447,797.8183585999068,,,,,v,1,0.41000849986448884,None,704236,001,2025-10-04_08h12.23.123,Motor Learning,2024.2.4,143.41667235551566,2025-10-04 08h12.32.724477 +0530,
150,v,129,129,33,v,1,0.4409499999601394,None,,,,,33,129,129,1,797.8231087999884,,797.818644599989,797.8231087999884,798.8091819998808,798.8091819998808,798.8091819998808,798.8091819998808,798.8160100998357,799.8089087000117,799.8089087000117,800.2542620999739,,,,,v,1,0.4409499999601394,None,704236,001,2025-10-04_08h12.23.123,Motor Learning,2024.2.4,143.41667235551566,2025-10-04 08h12.32.724477 +0530,
-50,x,130,130,35,x,1,0.4386354999151081,None,,,,,35,130,130,0,800.2599581000395,,800.2546629998833,800.2599581000395,801.2461848999374,801.2461848999374,801.2461848999374,801.2461848999374,801.2531160998624,802.2459408999421,802.2459408999421,802.6912467998918,,,,,x,1,0.4386354999151081,None,704236,001,2025-10-04_08h12.23.123,Motor Learning,2024.2.4,143.41667235551566,2025-10-04 08h12.32.724477 +0530,
-150,z,131,131,30,z,1,0.5454645999707282,None,,,,,30,131,131,3,802.697068599984,,802.6916401998606,802.697068599984,803.6834875999484,803.6834875999484,803.6834875999484,803.6834875999484,803.6900430000387,804.68295269995,804.68295269995,805.2330920998938,,,,,z,1,0.5454645999707282,None,704236,001,2025-10-04_08h12.23.123,Motor Learning,2024.2.4,143.41667235551566,2025-10-04 08h12.32.724477 +0530,
150,v,132,132,34,v,1,0.43403260014019907,None,,,,,34,132,132,1,805.238610399887,,805.2334241999779,805.238610399887,806.2247107999865,806.2247107999865,806.2247107999865,806.2247107999865,806.231386099942,807.2241966000292,807.2241966000292,807.6627821000293,,,,,v,1,0.43403260014019907,None,704236,001,2025-10-04_08h12.23.123,Motor Learning,2024.2.4,143.41667235551566,2025-10-04 08h12.32.724477 +0530,
-150,z,133,133,31,z,1,0.4336889998521656,None,,,,,31,133,133,3,807.6686934998725,,807.6630947999656,807.6686934998725,808.6546942999121,808.6546942999121,808.6546942999121,808.6546942999121,808.6618514999282,809.6542485998943,809.6542485998943,810.0927990998607,,,,,z,1,0.4336889998521656,None,704236,001,2025-10-04_08h12.23.123,Motor Learning,2024.2.4,143.41667235551566,2025-10-04 08h12.32.724477 +0530,
-150,z,134,134,32,z,1,0.4618768999353051,None,,,,,32,134,134,3,810.0985981000122,,810.093148099957,810.0985981000122,811.0851715998724,811.0851715998724,811.0851715998724,811.0851715998724,811.0919921000022,812.0846186999697,812.0846186999697,812.551013499964,,,,,z,1,0.4618768999353051,None,704236,001,2025-10-04_08h12.23.123,Motor Learning,2024.2.4,143.41667235551566,2025-10-04 08h12.32.724477 +0530,
-50,x,135,135,36,x,1,0.8654950999189168,None,,,,,36,135,135,0,812.5568611000199,,812.5513100998942,812.5568611000199,813.5428011000622,813.5428011000622,813.5428011000622,813.5428011000622,813.5497355000116,814.5427712998353,814.5427712998353,815.4122609999031,,,,,x,1,0.8654950999189168,None,704236,001,2025-10-04_08h12.23.123,Motor Learning,2024.2.4,143.41667235551566,2025-10-04 08h12.32.724477 +0530,
50,c,136,136,31,c,1,0.6753799999132752,None,,,,,31,136,136,2,815.4176479000598,,815.412577799987,815.4176479000598,816.4035974000581,816.4035974000581,816.4035974000581,816.4035974000581,816.4105837000534,817.403544700006,817.403544700006,818.0853792000562,,,,,c,1,0.6753799999132752,None,704236,001,2025-10-04_08h12.23.123,Motor Learning,2024.2.4,143.41667235551566,2025-10-04 08h12.32.724477 +0530,
-150,z,137,137,33,z,1,1.1754559001419693,None,,,,,33,137,137,3,818.0910016999114,,818.0856524999253,818.0910016999114,819.0767486998811,819.0767486998811,819.0767486998811,819.0767486998811,819.0837769999634,820.0769380999263,820.0769380999263,821.2581615999807,,,,,z,1,1.1754559001419693,None,704236,001,2025-10-04_08h12.23.123,Motor Learning,2024.2.4,143.41667235551566,2025-10-04 08h12.32.724477 +0530,
150,v,138,138,35,v,1,0.9149414000567049,None,,,,,35,138,138,1,821.2639376998413,,821.2585114999674,821.2639376998413,822.2500030000228,822.2500030000228,822.2500030000228,822.2500030000228,822.2570766999852,823.2498675000388,823.2498675000388,824.1677685999312,,,,,v,1,0.9149414000567049,None,704236,001,2025-10-04_08h12.23.123,Motor Learning,2024.2.4,143.41667235551566,2025-10-04 08h12.32.724477 +0530,
