pos,corr_resp,thisN,thisTrialN,thisRepN,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.duration,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,thisRow.t,notes,trial.started,Fixation.started,Line_1.started,Line_2.started,Line_3.started,Line_4.started,Fixation.stopped,Probe.started,key_resp.started,trial.stopped,trials.key_resp.keys,trials.key_resp.corr,trials.key_resp.rt,trials.key_resp.duration,trials_2.key_resp.keys,trials_2.key_resp.corr,trials_2.key_resp.rt,trials_2.key_resp.duration,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
50,c,154,2,38,c,1,0.2316222998779267,None,38,2,154,2,,,,,348.6910465999972,,348.678616899997,348.6910465999972,349.6720435000025,349.6720435000025,349.6720435000025,349.6720435000025,349.69282550015487,350.68476249999367,350.68476249999367,350.920673500048,c,1,0.2316222998779267,None,,,,,04,001,2025-10-02_11h26.52.613,Motor Sequential Learning,,2025.1.1,72.94887807643727,2025-10-02 11h26.58.698852 +0530,
-150,z,155,3,38,z,1,0.2162607000209391,None,38,3,155,3,,,,,350.9337977000978,,350.9210143000819,350.9337977000978,351.92721820017323,351.92721820017323,351.92721820017323,351.92721820017323,351.94139660010114,352.92018340015784,352.92018340015784,353.1431904002093,z,1,0.2162607000209391,None,,,,,04,001,2025-10-02_11h26.52.613,Motor Sequential Learning,,2025.1.1,72.94887807643727,2025-10-02 11h26.58.698852 +0530,
-50,x,156,0,39,x,1,0.43765820004045963,None,39,0,156,0,,,,,353.15628480003215,,353.14370870008133,353.15628480003215,354.149966500001,354.149966500001,354.149966500001,354.149966500001,354.16563340020366,355.14954740018584,355.14954740018584,355.58996500005014,x,1,0.43765820004045963,None,,,,,04,001,2025-10-02_11h26.52.613,Motor Sequential Learning,,2025.1.1,72.94887807643727,2025-10-02 11h26.58.698852 +0530,
150,v,157,1,39,v,1,0.02530180010944605,None,39,1,157,1,,,,,355.60086880018935,,355.5903724001255,355.60086880018935,356.58209090004675,356.58209090004675,356.58209090004675,356.58209090004675,356.6075782000553,357.5882374001667,357.5882374001667,357.61589850019664,v,1,0.02530180010944605,None,,,,,04,001,2025-10-02_11h26.52.613,Motor Sequential Learning,,2025.1.1,72.94887807643727,2025-10-02 11h26.58.698852 +0530,
50,c,158,2,39,c,1,0.1876064999960363,None,39,2,158,2,,,,,357.6288449000567,,357.6165788001381,357.6288449000567,358.61493150005117,358.61493150005117,358.61493150005117,358.61493150005117,358.6234063000884,359.6093425001018,359.6093425001018,359.8099678000435,c,1,0.1876064999960363,None,,,,,04,001,2025-10-02_11h26.52.613,Motor Sequential Learning,,2025.1.1,72.94887807643727,2025-10-02 11h26.58.698852 +0530,
-150,z,159,3,39,z,1,0.3061925999354571,None,39,3,159,3,,,,,359.8235101001337,,359.8105624001473,359.8235101001337,360.8095355001278,360.8095355001278,360.8095355001278,360.8095355001278,360.82331440015696,361.81609229999594,361.81609229999594,362.1364355001133,z,1,0.3061925999354571,None,,,,,04,001,2025-10-02_11h26.52.613,Motor Sequential Learning,,2025.1.1,72.94887807643727,2025-10-02 11h26.58.698852 +0530,
-50,x,160,0,40,x,1,0.24313739989884198,None,40,0,160,0,,,,,362.14970050007105,,362.13699960010126,362.14970050007105,363.13725760020316,363.13725760020316,363.13725760020316,363.13725760020316,363.1494856001809,364.14267580001615,364.14267580001615,364.3866665000096,x,1,0.24313739989884198,None,,,,,04,001,2025-10-02_11h26.52.613,Motor Sequential Learning,,2025.1.1,72.94887807643727,2025-10-02 11h26.58.698852 +0530,
150,v,161,1,40,v,1,0.14761029998771846,None,40,1,161,1,,,,,364.40006480016746,,364.38735750014894,364.40006480016746,365.39252240001224,365.39252240001224,365.39252240001224,365.39252240001224,365.4069833001122,366.3854684000835,366.3854684000835,366.5453626001254,v,1,0.14761029998771846,None,,,,,04,001,2025-10-02_11h26.52.613,Motor Sequential Learning,,2025.1.1,72.94887807643727,2025-10-02 11h26.58.698852 +0530,
50,c,162,2,40,c,1,0.18811400001868606,None,40,2,162,2,,,,,366.55362070002593,,366.54567650007084,366.55362070002593,367.54560870002024,367.54560870002024,367.54560870002024,367.54560870002024,367.5542637000326,368.54684150009416,368.54684150009416,368.7474780001212,c,1,0.18811400001868606,None,,,,,04,001,2025-10-02_11h26.52.613,Motor Sequential Learning,,2025.1.1,72.94887807643727,2025-10-02 11h26.58.698852 +0530,
-150,z,163,3,40,z,1,0.22816230007447302,None,40,3,163,3,,,,,368.7607917999849,,368.747924500145,368.7607917999849,369.747124100104,369.747124100104,369.747124100104,369.747124100104,369.7609698001761,370.7413087000605,370.7413087000605,370.9839117000811,z,1,0.22816230007447302,None,,,,,04,001,2025-10-02_11h26.52.613,Motor Sequential Learning,,2025.1.1,72.94887807643727,2025-10-02 11h26.58.698852 +0530,
-50,x,164,0,41,x,1,0.14046639995649457,None,41,0,164,0,,,,,370.9972099000588,,370.9847520000767,370.9972099000588,371.97699320013635,371.97699320013635,371.97699320013635,371.97699320013635,371.9972373000346,372.98984510009177,372.98984510009177,373.1436490002088,x,1,0.14046639995649457,None,,,,,04,001,2025-10-02_11h26.52.613,Motor Sequential Learning,,2025.1.1,72.94887807643727,2025-10-02 11h26.58.698852 +0530,
