stairs.thisTrialN,stairs.stepSize,stairs.intensity,thisRow.t,notes,trial.started,fixation.started,grating.started,key_resp.started,fixation.stopped,grating.stopped,trial.stopped,corrAns,tilt,key_resp.corr,stairs.response,key_resp.rt,participant,session,date,expName,psychopyVersion,frameRate,expStart,
12,2,1.0,19.21286979992874,,19.207122900057584,19.21286979992874,19.699206500081345,19.699206500081345,19.705934700090438,19.990600700024515,20.56211970001459,right,1.0,1,1,0.8605291999410838,369261,001,2025-08-28_10h22.21.260,staircase,2024.2.4,143.84949890641897,2025-08-28 10h22.29.503682 +0530,
13,2,1.0,20.566738300025463,,20.562362799886614,20.566738300025463,21.053069700021297,21.053069700021297,21.060262700077146,21.344494000077248,22.068109199870378,left,-1.0,1,1,1.0125386998988688,369261,001,2025-08-28_10h22.21.260,staircase,2024.2.4,143.84949890641897,2025-08-28 10h22.29.503682 +0530,
14,2,1.0,22.07360600004904,,22.06839150004089,22.07360600004904,22.55982319987379,22.55982319987379,22.566727899946272,22.85109360003844,23.442858499940485,right,1.0,1,1,0.88153350003995,369261,001,2025-08-28_10h22.21.260,staircase,2024.2.4,143.84949890641897,2025-08-28 10h22.29.503682 +0530,
15,2,1.0,23.448304299963638,,23.443069899920374,23.448304299963638,23.93451389996335,23.93451389996335,23.941589700058103,24.225994999986142,25.304175999946892,right,1.0,1,1,1.3623532999772578,369261,001,2025-08-28_10h22.21.260,staircase,2024.2.4,143.84949890641897,2025-08-28 10h22.29.503682 +0530,
16,2,1.0,25.309256799984723,,25.304392100078985,25.309256799984723,25.795459399931133,25.795459399931133,25.802399799926206,26.08701190003194,28.372860600007698,right,1.0,1,1,2.573729599826038,369261,001,2025-08-28_10h22.21.260,staircase,2024.2.4,143.84949890641897,2025-08-28 10h22.29.503682 +0530,
17,2,1.0,28.378135100007057,,28.373070999979973,28.378135100007057,28.864423099905252,28.864423099905252,28.871232100063935,29.155822800006717,30.184486499987543,right,1.0,1,1,1.312903800047934,369261,001,2025-08-28_10h22.21.260,staircase,2024.2.4,143.84949890641897,2025-08-28 10h22.29.503682 +0530,
18,2,1.0,30.190307500073686,,30.184653300093487,30.190307500073686,30.676831200020388,30.676831200020388,30.683665700023994,30.96810150006786,32.88598429993726,right,1.0,1,1,2.2025343999266624,369261,001,2025-08-28_10h22.21.260,staircase,2024.2.4,143.84949890641897,2025-08-28 10h22.29.503682 +0530,
19,2,1.0,32.89140020008199,,32.886198200052604,32.89140020008199,33.377719399984926,33.377719399984926,33.384611499961466,33.669101800071076,34.83030020003207,right,1.0,1,1,1.4479369998443872,369261,001,2025-08-28_10h22.21.260,staircase,2024.2.4,143.84949890641897,2025-08-28 10h22.29.503682 +0530,
20,2,1.0,34.835678699892014,,34.830555599881336,34.835678699892014,35.321868899976835,35.321868899976835,35.328872699989006,35.61336289998144,36.29547860007733,right,1.0,1,1,0.9697294000070542,369261,001,2025-08-28_10h22.21.260,staircase,2024.2.4,143.84949890641897,2025-08-28 10h22.29.503682 +0530,
21,2,1.0,36.30077020009048,,36.29573439992964,36.30077020009048,36.78688249993138,36.78688249993138,36.793819200014696,37.07840740005486,38.108407200081274,right,1.0,1,1,1.3189651002176106,369261,001,2025-08-28_10h22.21.260,staircase,2024.2.4,143.84949890641897,2025-08-28 10h22.29.503682 +0530,
